Rapid Ronin Transactions,Fast Ronin Transactions,Standard Ronin Transactions,Slow Ronin Transactions,Rapid Deposit ETH,Fast Deposit ETH,Standard Deposit ETH,Slow Deposit ETH,Rapid Withdraw ETH,Fast Withdraw ETH,Standard Withdraw ETH,Slow Withdraw ETH,Rapid Deposit AXS,Fast Deposit AXS,Standard Deposit AXS,Slow Deposit AXS,Rapid Withdraw AXS,Fast Withdraw AXS,Standard Withdraw AXS,Slow Withdraw AXS,Rapid Deposit SLP,Fast Deposit SLP,Standard Deposit SLP,Slow Deposit SLP,Rapid Withdraw SLP,Fast Withdraw SLP,Standard Withdraw SLP,Slow Withdraw SLP,Rapid Ethereum: Send ETH,Fast Ethereum: Send ETH,Standard Ethereum: Send ETH,Slow Ethereum: Send ETH,Rapid Ethereum: Send AXS,Fast Ethereum: Send AXS,Standard Ethereum: Send AXS,Slow Ethereum: Send AXS,Rapid Ethereum: Send SLP,Fast Ethereum: Send SLP,Standard Ethereum: Send SLP,Slow Ethereum: Send SLP,DT_HR
$0,$0,$0,$0,$39.08,$28.33,$27.79,$27.79,$49.39,$35.81,$35.12,$35.12,$34.68,$25.14,$24.66,$24.66,$43.91,$31.83,$31.22,$31.22,$34.67,$25.13,$24.65,$24.65,$45.92,$33.29,$32.65,$32.65,$5.01,$3.63,$3.56,$3.56,$8.49,$6.15,$6.04,$6.04,$8.85,$6.42,$6.3,$6.3,24/08/2021 09:11:06
$0,$0,$0,$0,$35.77,$24.31,$23.58,$23.58,$45.22,$30.73,$29.8,$29.8,$31.75,$21.57,$20.92,$20.92,$40.2,$27.32,$26.49,$26.49,$31.74,$21.57,$20.92,$20.92,$42.04,$28.57,$27.71,$27.71,$4.59,$3.12,$3.02,$3.02,$7.77,$5.28,$5.12,$5.12,$8.1,$5.51,$5.34,$5.34,24/08/2021 09:48:36
$0,$0,$0,$0,$43.34,$27.89,$26.37,$26.37,$54.78,$35.25,$33.33,$33.33,$38.46,$24.75,$23.4,$23.4,$48.7,$31.34,$29.63,$29.63,$38.45,$24.74,$23.4,$23.4,$50.93,$32.78,$30.99,$30.99,$5.56,$3.58,$3.38,$3.38,$9.41,$6.06,$5.73,$5.73,$9.82,$6.32,$5.97,$5.97,24/08/2021 09:49:41
$0,$0,$0,$0,$37.6,$33.16,$32.61,$32.61,$47.53,$41.91,$41.22,$41.22,$33.37,$29.42,$28.94,$28.94,$42.25,$37.25,$36.65,$36.65,$33.36,$29.42,$28.93,$28.93,$44.18,$38.96,$38.33,$38.33,$4.82,$4.25,$4.18,$4.18,$8.17,$7.2,$7.08,$7.08,$8.52,$7.51,$7.39,$7.39,24/08/2021 09:50:46
$0,$0,$0,$0,$37.93,$32.52,$31.97,$31.97,$47.94,$41.1,$40.41,$40.41,$33.66,$28.85,$28.37,$28.37,$42.62,$36.53,$35.93,$35.93,$33.65,$28.85,$28.37,$28.37,$44.57,$38.21,$37.57,$37.57,$4.86,$4.17,$4.1,$4.1,$8.24,$7.06,$6.94,$6.94,$8.59,$7.37,$7.24,$7.24,24/08/2021 09:51:50
$0,$0,$0,$0,$43.72,$33.95,$33.41,$33.41,$55.26,$42.91,$42.23,$42.23,$38.8,$30.13,$29.65,$29.65,$49.12,$38.15,$37.54,$37.54,$38.79,$30.12,$29.64,$29.64,$51.37,$39.9,$39.26,$39.26,$5.61,$4.35,$4.28,$4.28,$9.5,$7.37,$7.26,$7.26,$9.9,$7.69,$7.57,$7.57,24/08/2021 09:52:55
$0,$0,$0,$0,$45.58,$37.68,$37.14,$37.14,$57.61,$47.63,$46.94,$46.94,$40.44,$33.44,$32.96,$32.96,$51.21,$42.34,$41.73,$41.73,$40.43,$33.43,$32.95,$32.95,$53.56,$44.28,$43.64,$43.64,$5.84,$4.83,$4.76,$4.76,$9.9,$8.18,$8.07,$8.07,$10.32,$8.54,$8.41,$8.41,24/08/2021 09:53:59
$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,24/08/2021 09:55:08
$0,$0,$0,$0,$43.43,$36.99,$36.45,$36.45,$54.9,$46.75,$46.07,$46.07,$38.54,$32.82,$32.34,$32.34,$48.8,$41.56,$40.95,$40.95,$38.53,$32.82,$32.33,$32.33,$51.04,$43.47,$42.83,$42.83,$5.57,$4.74,$4.67,$4.67,$9.43,$8.03,$7.92,$7.92,$9.84,$8.38,$8.26,$8.26,24/08/2021 09:56:19
$0,$0,$0,$0,$38.01,$33.12,$32.58,$32.58,$48.04,$41.86,$41.18,$41.18,$33.73,$29.39,$28.91,$28.91,$42.7,$37.21,$36.6,$36.6,$33.72,$29.38,$28.9,$28.9,$44.66,$38.92,$38.28,$38.28,$4.87,$4.25,$4.18,$4.18,$8.25,$7.19,$7.08,$7.08,$8.61,$7.5,$7.38,$7.38,24/08/2021 09:57:25
